!	kɑŋ˥˥tn˥˩ kɑŋ˥˥
"apple"怎么说？	æpɪl˨ tsɑŋ˨˩˦mɤ˥˩ʂʰu˥˥
"不管黑猫白猫，能捉到老鼠就是好猫"	pu˥˩kwan˨˩˦kʰɤ˥˩mɑʊ˧˥ paɪ˧˥mɑʊ˧˥ nɤŋ˧˥ʈʂɤ˥˩ tɑʊ˥˩lɑʊ˧˥ʂu˨˩˦   xɑʊ˨˩˦mɑʊ˧˥
"初发芙蓉，自然可爱"的美	ʈʂʰu˥˥fa˥˥fu˧˥ tʰʐoʊŋ˧˥ʐoʊ˧˥ʈʂu˧˥ʂɚ˥˩ʂɚ˥˩ʈʂʰwan˧˥kʰɤ˧˥aɪ˥˥ tjɛ˥˩
"报纸——newspaper" 场合：报纸一般出现在报刊亭或者候机场，供人们获取最新的消息。	pɑʊ˥˩ʈʂɚ˨˩˦i˥˩pɑŋ˥˥ʈʂʰu˥˥ ʈʂtpɑʊ˥˩kʰan˥˩ tʰɪŋ˥˥xuɔ˥˩ʈʂɤ˥˩xu˧˥ tɕi˥˥ʈʂ kʊŋ˥˥ʐən
"梁文博"是一个人的姓名。他姓“梁”，名“文博”。	ljɑŋ˨˩˦uən˧˥kuɔ˧˥
"段""殷""毅"都有殳字旁	twan˥˩ jɛn˥˥i˥˩ ttʰoʊ˥˩  ʂu˥˥tsɯ˥˩ pʰaŋ˧˥
"错彩镂金，雕缋满眼"的美	tsʰuɔ˥˩tsʰaɪ˧˥ loʊ˥˩ tɕɪŋ˥˥tjɑʊ˥˥ ʂuɔ˥˩man˧˥jɛn˨˩˦ m
%	pan˨˩˦fən˥˥xɑʊ˥˩
(一顶)浴帽	i˥˩
--吃了吗？--吃了，您呢？--还没呢。	ʈʂʰɚ˥˥lʈʂʰɚ˥˥l   nɤ˥˩ kʰan˨˩˦meɪ˨˩˦
-伙计,别把这一切搞砸了-把什么搞砸了?	pjɛ˨˩˦ pa˨˩˦  i˧˥tɕʰɥœ˧˥ kɑʊ˨˩˦tsa˨˩˦ la˥˩pa˨˩˦ʂɤŋ˨˩˦ma˨˩˦ kɑʊ˨˩˦tsa�� ˧˥la˥˩
-请问您这里有卖暖手宝吗? -有的，在这里	tɕʰɪŋ˨˩˦tɕjɛn˨˩˦ ʰʈʂɤ˥˩li˨˩˦ mɪŋ˧˥ʈʂɤ˥˩ luən˧˥tɕjɛ˥˥ ʂoʊ˨˩˦i˧˥mɑ˥˩  joʊ˧˥tɤ˧˥  tɕɥ
...在哪儿？	tsaɪ˥˩ na˥˩
...感到万分沮丧	kɑn˨˩˦tɑʊ˥˩ wan˥˩fənʈʂɚ˨˩˦saʊ˥˩
...描述全球過熱的真正危險	mjɑʊ˥˩ʂu˥˩ tɕʰjoʊ˧˥ lzɤ˥˩  ʈʂən˥˥ʈʂɤŋ˥˩xweɪ˧˥ɕjɛn˨˩˦
...是用這種石塊壘起來的	ʂɚ˥˩  i˥˩ʈʂʊŋ˨˩˦ʂɚ˧˥ kʰuaɪ˥˩ tjɛ˨˩˦tɕʰi˨˩˦  laɪ˧˥
...直到全家人吃完	ʈʂɚ˧˥tɑʊ˥˩tɕja˥˥ ʐən˧˥ʂɚ˥˥wan˧˥
...語文能力已經有小學一年級的程度了。	y˨ uən˧˥nɤŋ˧˥li˥˩ ɕjɑʊ˨˩˦ɕjɛn˥˩ti˥˩ntɕi˧˥ ʈʂʰɤŋ˧˥ tu˥˩l
...过生日	kuɔ˥˩ʂɤŋ˥˥ʐɚ˥˩
...震撼不少粉絲。	ʈʂɤŋ˥˩xan˥˩ pu˥˩ʂɑʊ˥˥ fan˨˩˦ sɯ˥˥
0	lɪŋ˧˥
1	i˥˩
1 普通话 2 郑州方言 3石家庄方言	tɕŋ˨˩˦ʈʂou˥˥tɕŋ˨˩˦ʈʂou˥˥tɕɪŋ˧˥
10	i˥˥lɪŋ˧˥
100	t̚˨˩paːi˨˩˦
100%	pɤŋ˥˥pɤŋ˥˥pɤŋ˥˥
1000	i˥˩tɕʰjɛn˥˥
10000	a
100000	ʂɚ˧˥wan˥˩
100分	i˥˩paɪ˨˩˦ fən˥˥
101大樓	la kaptamo
10分	ʂɚ˧˥fən˥˥
10月1号我们去上海	ʂɚ˧˥ɥœ˥˩ i˥˥xoʊ˥˩u˥˩ meɪ˧˥ ɕʂɑŋ˥˥xaɪ˧˥
10点过5分	ʂɚ˧˥tjɛn˨˩˦kwa˥˩ u˨˩˦fən˥˥
11	i˥˩i˥˩
110	kio˨˩jɔ˨˦lĩŋ˨˦
113	i˥˥i˥˥san˥˥
115	i˥˥i˥˥u˨˩˦
119	jˈɑjˌɑdʒu
11区	ʂɚ˧˥i˥˥
11号楼	ʂɚ˧˥i˥˩ ʂu˨˩˦lɔ˥oʊ˧˥
12	ʂɚ˧˥aɻ˥˩
120	i˥˩paɪ˨˩˦ ʂɚ˧˥
12306	i˥˥aɻ˥˩san˥˥lɪŋ˧˥ljoʊ˥˩
12月24日是平安夜	ʂɚ˧˥aɻ˥˩ɥœ˧˥ ʂɚ˧˥sɯ˥˥ ʐɚ˥˩ ʂɚ˥˩ pʰɪn˧˥ an˥˩jɛ˥˩
13	ʂɚ˧˥pan˥˥
14	ʂɚ˥˩sɯ˥˥
15	ʂɚ˧˥u˨˩˦
15倍瞄准镜	ʂɚ˧˥u˨˩˦peɪ˥˩mjɑʊ˧˥ʈʂuən˨˩˦ tɕɪŋ˥˥
16	ʂɚ˧˥ljoʊ˥˩
16世纪	ʂɚ˧˥ljoʊ˥˩ ʂɚ˧˥ʈʂi˥˩
17	ʂɚ˧˥tɕʰi˥˥
1703年开始它建在沼泽地上	ni˨˩˦tɕʰi˥˥lɪn˧˥ san˥˥nkʰaɪ˥˥ʂɚ˥˩tɕjɛn˥˥tsɤ˧˥ti˥˩ ʂɑŋ˥˩
1763年，曹雪芹离世，享年五十岁	i˥˩tɕʰjɛ˥˥ljoʊ˥˩ saɪ˥˥n tsʰɑʊ˧˥ɕʰɥœ˧˥ttɕʰɪŋ˥˥li˧˥ ʂɚ˥˩ ɕjɑŋ˨˩˦nʲen˧˥u˥˩ʂɚ˧˥suː
18	ʂɚ˧˥pa˥˥
1868年1月18号	i˥˩pa˥˥ljoʊ˥˩pa˥˥njɛ˧˥i˥˩  ʂɚ˧˥pa˥˥xɑʊ˥˩
18岁以后，他一直一个人住	ʂɚ˧˥pa˥˥sweɪ˥˩ i˧˥xoʊ˥˩t i˥˩ʈʂɚ˧˥i˧˥kɤ˥˩ ʐən˧˥ʈ
19	ʂɚ˧˥ɕɥœ˧˥
1910年8月9号	i˥˩tɕjoʊ˨˩˦i˥˩ɪ˥˩li˥˩npɑ˥˥ɥœ˥˩ kjoʊ˨˩˦xɑʊ˥˩
1933老場坊	i˥˩kɥœ˧˥tɕjoʊ˨˩˦san˥˥san˥˥lɑʊ˧˥ ʈʂʰɑŋ˨˩˦
1973年石油禁运	i˥˩kɤ˧˥tɕʰi˧˥san˩˩˦nʂɚ˧˥ tɕi˥˩yn˥˩
1980年9月4号我们结婚了	i˧˥tɕjoʊ˨˩˦pa˥˥lɪŋ˧˥njɛ˨˩˦tɕjoʊ˨˩˦yɛ˥˩sɯ˥˥xɑʊ˥˩  tɕjɛ˨˩˦xweɪ˥˥ l
1985	i˥˥tɕjoʊ˨˩˦pa˥˥u˨˩˦
1986	i˥˥tɕjoʊ˨˩˦pa˥˥ljoʊ˥˩
1987	i˥˥n˥˥tɕjɛʊ˨˩˦pa˥˥ tɕʰi˥˥
1987年麦当劳占据了整个快餐市场销售额的19%	i˥˩kɤ˥˩ kɤ˧˥ʈʂan˥˥ʂɚ˥˩ ʈʂlɑʊ˧˥ tɕyɔ˥˩lʈʂan˥˩lɑʊ˧˥lʈʂʰɤŋ˨˩˦  kɤ˥˩kʰaɪ˥˥ʈʂan˥˥ʂɚ�
1988	i˥˥tɕjoʊ˨˩˦pa˥˥pa˥˥
1990	i˥˥ntɕjoʊ˨˩˦kioʊ˨˩˦lĩŋ˨˩˦
1999	i˥˩kɤ˧˥ tɕjoʊ˨˩˦
1°c	i˨˩˦tu˥˩ɕi˥˥
1、北京市朝阳区。2、《边笳曲》朔管迎秋动，雕阴雁来早。上郡隐黄云，天山吹白草。嘶马悲寒碛，朝阳照霜堡。江南戍客心，门外芙蓉老。	ʈʂɑʊ˧˥ɕjɑŋ˧˥ ʈʂɑʊ˥˥jɑŋ˧˥ ʈʂɑʊ˥˩ʂwɑŋ˥˥ pɑʊ˨˩˦
1千米＝1公里	i˥˥tɕʰjɛn˥˥mɪŋ˧˥ tɤŋ˨˩˦y˧˥i˥˩kʊŋ˥˥lɪn˧˥
1块	i˥˥kʰœ˥˥
1普通话闹铃2唐山话闹铃	naʊ˥˧liu˧˧
1月1日是新年	i˥˥ɥɚ˥˩ i˧˥ʐɚ˥˩  ɕɪn˥˥n
1毛	i˥˩mɑʊ˨˩˦
1点	i˥˥
1级	i˥˥
1英亩等于4,046.8 平方米	i˥˩ɪŋ˥˥u˨˩˦ tɤŋ˨˩˦y˧˥ sɯ˥˩ ʂɚ˥˩lɪŋ˧˥ sɯ˥˩ʂɚ˧˥ljoʊ˨˩˦tjɑʊ˨˩˦pa˥˥ pʰɪŋ˧˥fɑŋ˥˥mi˨˩
1角	i˥˩
2	aɻ˥˩
2-甲基丙烷	aɻ˥˩tɕja˨˩˦ tɕi˥˥ pjɛn˨˩˦
20	aɻ˥˩ ʂɚ˧˥
2001年7月20日	aɻ˥˩lɪŋ˧˥lɪŋ˧˥i˥˥nɤŋ˧˥jɛn˧˥ ɕʰɥœ˥˩aɻ˥˩ʂɚ˧˥ʐɚ˥˩
2013年我们高中组织参观丰台园博会。	aɻ˥˩lɪn˧˥i˨˩˦ ʂ njɛn˧˥ʰu˨˩˦ kɑʊ˥˥ʈʂu˨˩˦ ʈʂʰɑŋ˥˥kwan˥˥ fɤŋ˥˥tjɛn˥˩pɔ˥˥
2016	aɻ˥˩lɪŋ˧˥ji˧˥ljoʊ˥˩
2016年nba的总冠军是骑士队。	aɻ˥˩lɪŋ˧˥i˥˥ ʂʰjɛn˥˩npa˥˥  tsʊŋ˨˩˦kwan˥˩ tɕyn˥˥  ʂɚ˥˩tweɪ˥˩
2016快乐	aɻ˥˩lɪŋ˧˥ji˥˥ljoʊ˥˩ kʰuaɪ˥˩lɤ˥˩
2017	aɻ˥˩lɪŋ˧˥i˥˥
2017年	aɻ˥˩lɪŋ˧˥i˧˥ ɕʰi˥˥n
2019冠状病毒病	aɻ˥˩lɪŋ˧˥i˧˥kwan˥˥ tɕjɑʊ˨˩˦kwan˥˥ tɑʊ˥˩pɪŋ˥˩
