!אמרתי לך	ʔɑmɑː tilaħ
!ברכותינו	ilkoteˈnu
!גָּדוֹל	gadoʎ
!הַפְסֵק להיות ארגנטינאי	aːfsɾk lɛjhiːt ɑlgɛntinaj
!הדרך	atðʁɛjx
!הפעל	af˨eːl
!יש חדשות באתר	neʃt xaˈdæʃ ʃæt baʔtɑːm
!כי בא אורך, קומי אורי	kwaː ɔʁiʁ kɔm on
!תּוֹדָה	tata
"yod-há-väv-há'	jɑhvɑ
"לא יגונה ולא ישובח"	lo jɛgunˈe vˈe lˈo jˈʃubˌaχ
'afor	tˈe
'aforot	afˈaːrˈaʒˈɑtˈ
'ah gadol	ˈax gʁaðˈoʊl
'ahat	aχat
'ahot	ɑːlˈʃɔt
'ahyan	æχjɑn
'ahyanit	æˈsˈtˤ
'anashim	anaʃim
'arba	alba
'arba me'ot	ʔaɣbaː mʔot
'arba'a	ʔkʰaʃ
'arba'asar	aɣbaʔaasˈaː
'arba'im	aɣbaʔim
'aroh	ðəˈpiːtnˈɑtklˈɪɹ
'asar	asˈaɾo
'asara	ɑsˈtˈʁɑ
'at	hɑt
'ata	atːa
'efes	efes
'eh kor'im leha?	ˈiχ koʁˈim lˈexa
'elef	fala
'emet	emet
'erets	ɛɾits
'eser	ase
'esrim	ʔesʁim
'ima	ima
'isha	aʃo
'ohlim	ɔlimen
'u-shney	ɔsneiːɟi
'בָּגָאז	bˌɐgˈaʒ
'בעזרת ה	koʔozɾat haʃem
'ברקוביץ	berkovitʃ
'ג''קט ארוך'	ʒakˈɛt ˈeˈʁɔʁ
'ד''ר	dɔktoɾ
'יום המנוחה	jom amonuxa
'יום תפילה	jom t̪vila
'סנדוויץ	zɛndvitʃ
(forever) לנצח	lanetsˈa
(אוכל (שם עצם	ˈoːxəl
(אופה (ז	ofe
(אימצתי (אִימַצתִי	imatˈti
(ארצה (אֶרצֶה	ɛɾˈtsɛ
(בעוניה (בעוני שלה	beːkˈoniːja
(המריאו (הִמרִיאוּ	ɛt mʁˈu
(העריכו (הֶעֱרִיכוּ	ˈʁiɢi xo
(הקדש (הַקדֵש	pagdeʃ
(זעם (שם עצם	zaʔm
(חום (שם עצם	xum
(כלי הקשה (רבים	klej ħakasa
(כלי מיתר (רבים	klejme taː
(כלי עזר (רבים	klej ezɛɾ
(כלי פריטה (רבים	klejpɾita
(כשל (פועל	akestʃa
(כשל (שם עצם	kʃɪl
(לכו (לְכוּ	falexu
(מגדל (פועל	mˈegadˈerˈim
(מדבר (פועל	mrdə bejɑl
(מטאטא (שם עצם	matatɛ
(מכינה (פועל	mixˈiːnɑ
(מלא (תואר	ɐˈle
(מלון (מקום	malon
