!بسيطة يا متر! كانت وجبة ممتازة	bãsʲit ʲa ʲimit kʲæːnʲɪt wɛkbɨ mɪm tɛzɪ
abdel fattah al-sisi	ʕabdælf ælˈtæhˤisˤ
ahmed hassan kouka	ʔaħmħasˤɑːnː kɛkˈtˤ
ahmed hossam mido	ʔahma ħasˈmiːd
bakabouzas	bakabozzaˈs
chalhoub	ʃælˈhʊb
feteer meshaltet	fɪtiːr mɪʃ ɛltɪd
foul mudammas	suːn mɪdˈɛm
ful medames	ful mi demmɪs
javascript	xɛvaːskɾipt
khnum	χnom
khopesh	xʊbɪs
magdi yacoub	magd jaqub
mahmoud hassan trezeguet	maħmuːt ħasˈnaːt rɪzɪgɪ
mohamed aboutrika	mohammad ʔabutɾiːkə
mohamed el neny	maħamd ælniː
mohamed salah	mahemed sˈlˈħ
mohamed zidan	mahma dæn
moises	mˈuːsɑ
mostafa mohamed	mst̪afː moːhɑːmmad
nefertiti	nˈɛfɛrtidʒˈi
omaima	umma
pikhristos aftonf	dix restos af tun
rokneddin khan	rʊ̞k nʲidʲin dʲin χɛnɪ̞n
sekhmet	sˈɛʁmˈɛt
sha allah	ɕallɑh
shakshouka	ʃækʲsɔpɑ
tutankhamun	suːtan˧qmul
zahi hawass	zaːjħawːs
آخر العنقود	æɣr ælaʕnuːd
آدم	ædæm
آسفة	aˈsfˈa
آلاء	ɛlˈɛ
آمن	æmin
آمون رع	ɑnɔnˈɾɑ
آنسة	aɪˈnɪsa
آي	ɑːˈjiː
آية	ˈeʎa
آيس كريم	ˈaɪs kɹˈim
أؤمر يا فندم	bu ɔmur efenˈdim
أئمة	aːmːɑ
أب	b
أبخازيا	abˈxazia
أبدا	æbæðæn
أبقى	abˈʔa
أبهات	abɑhɑt
أبو الهول	aboːlħaːwˈl
أبو سمبل	abosemβ̞ell
أبو قردان	aboː ɛrdæːn
أبو مينا	abomˈjna
أبوبكر	aːbubaːk
أبوفيس	ˌɐbufiˈʃ
أبيض	abijɒd
أتعلّم	ʔatˤɑːlˈlɑm
أتغذّى	ætˁɣɑzːɑ
أتوبيس	ɑtobiz
أتوبيسات	oˈtʊbɪsɛt
أثيوبيا	asˌiˈoːvja
أجانب	agɛnɪb
أجر	ˈgr
أجرة	ogra
أجنبي	agnabj
أجنبية	ægneːb̥eːjjæ
أجنحة	ægˈnˈɑħˈmɑ
أجندات	aʒnˈdˈeːt
أجندة	ˈʔɑːgɛndɑ
أجوبة	agueð̞a
أحمد	ˈˈˈammˈad
أحمد المحمدي	ɑħmɑd msmdi
أحمد حجازي‎	æhmdħg
أحمد حلمي	ʔahˈmɑd ħælmi
أحمد عز	ɑːhmɑ ʕæz
أحمد فتحي	ɑːhmd ftˈiː
أحمد فهمي	ɑːhmd fˈhˈmi
أحمر	ˈɑħmɑr
أحياء	ɑħjɛ
أخ	ɑχ
أخ أكبر	axʃa ɑq bɑɾ
أخبار	ɑxˈbɑr
أخباركم ايه؟	aqbɑr kom eːn
أخت	ɔxt
أختي	ʊrtʃˈi
أخضر	ħˈdɑr
أخويا	ɑxˈujɑ
أدائي	ɛdˈeiˈ
أدب	ɑðæm
أدباء	ˈɔ̃dɛbɑː
أدعية	ælˈdˤʕiːɑ
أدوية	adwaja
أديب	ʔdiːm
أذربيجان	zrʊ̞pʲiŋ
أرابيسك	ʔɑrɑːbɛsk
أراضي	arodi
أرانب	æˈræːnɛm
أربعة	arβ̞a
أربعة واربعين	tɾˈoːɭɚbˌeɪnz
أربعة وتسعين	ɑrpɑː tˤɪsˈʕiːm
أربعة وتلاتين	ʔwrtɛlɑtɪm
أربعة وتمانين	ɑrˈbʕa tˈamaniːm
أربعة وخمسين	arbaʕo xamsiːn
أربعة وسبعين	ɑtˈʃæː ɑrpˈʔaːj sˈmˈʕæn
أربعة وستين	arbaːl sɛtiːn
أربعة وعشرين	arpoː ʕistiiːn
أربعتاشر	ɑrɑˈbɑˈrtɔsɔv
أربعين	ʔɑrˈbʕiːn
أردن	aʊ̯t̪ii̯
أردني	orðoni
أرض الكنانة	arˈd ðælˈkæn æjˈnæm
أرمينيا	aɾmenia
أرنب	ɛrnæm
أرواب	arvab
أروبة	ɑrɔːbɑ
أزرق	azraʔ
أسئلة	tˈeːmɑːpɛnˈlˈa
أساتذة	asadza
أساحبي	asˈaħb
أسانسير	asˈansiɾ
أسباني	æspiːn
أسبانيا	aespanˈja
أسبوع [slash] أسابيع	es boː aːsa bja
أستاذ	ustiz
أستاذة	ostˈɛza
أسترالي	asttʃi
أستراليا	ostoralja
أستيكة	astˈik
أسد	asˈad
أسد البحر	ɑsˈdɑ ælˈbɑħr
أسماء	asˈmeː
أسمع	ʔɛsmɑː
أسوان	ɔːsʋɑːn
أسود	even
أسود (أسُود)	aw sˈuːd
أسود (اسْوِد)	es sʏbitː
أسيوط	asjutˈ
أسْلوب	asloːb
أشتري	aʃtˈɛli
أشكال	aʃkɛl
أشوفك	aʃoufak
أشوفك (أشوفِك)	aʃoːfk
أشوفك بعدين	æʃoːfɑk baːdeː
أشوفك بعيد	ʔaʃoufˈk baʕit
أشوفك علي خير	aʃoːfak ɑlˈliː xeːr
أصحاب	ɑsˈʃæb
أصفر	asvar
أصلي	ɑsli
أظن	azan
أظنْ إِنَّكْ صَحْ.	ʔɑzɑmmɛ nɑqsɑh
أعاصير	ɑːsɯr
أعتقد	aʕtɑqˈqid
أعرفه	ɑʕraːf
أغسطس	ogostos
أفران	ˈæzfɹˈɑn
أفغانستان	ʔafgɑnɪstɛn
أفغاني	ʔafʁɑmɪ
أفلام	afleːm
أفندم	ʔɛfendiːm
أفورة	avˈora
أفيال	afjˈɛl
أقابلك	ɑlˈk
أقدر أشرح كل حاجة	qɑːdˤɾɑːʃ rɑħ kæl ħɑgʔɑ
أقرر	ɑqɑrɑr
أقفل	aʔfɑl
أقفّل	aːfˈl
أقلام	tʃom
أقوم	aun
أقوي	æɑwɪ
أكبر	ɑqɯdlɑr
أكتوبر	oktobor
أكوام	nˈɛkwˈˈam
أكيد	ʔakː˧iːd
ألباني	albeːni
ألبانيا	ælbænjæ
ألسطة	aləstˈa
ألعاب نارية	ælʕɑːb naːriː
ألف	ˈɛlf
ألف شكر	ɛlfe ʃokr
ألماني	ælmæni
ألمانيا	ælmænjæ
أليط	ɑlɪt
أم	ɔm
أم أربعة وأربعين	omrb uːaːrbˈʕiːn
أم كلثوم	ˈomuk kɜːsˈum
أمثلة	amseˈla
أمريكا	ambriga
أمريكا الجنوبية	amriːk algɑnˈbɑjːa
أمريكا الشمالية	amˈriːk æʃtʃɔmˈlɪna
أمريكاني	amikini
أمريكي	amrˈigi
أمطار	amtˈɔr
أنا	ˈɑnɑ
أنا آسف	ʔana ʔaːsaf
أنا آسفة	ʔana ʔasˈfa
أنا أخو الرئيس	ʔana ʔax ælraːjæz
أنا إنجليزي.	ænænˈgjːlˌiːθi
أنا اسمي أيمن	ʔana ʔsmi ʔajman
أنا بحب أعمل البسبوسة.	ʔana bˈhɑb ʕamal albasbuzi
أنا بحب البسبوسة	ʔan baħab aːlbsˈbuːsˤa
أنا بحبك	ɑnɑ bˈhːak
أنا بدردش	ana batalð̞ʃ
أنا بستمتع بالبسبوسة	ʔana baːstumtʕaʕ biaːlbaːspuːsa
أنا بقول كدا برضو	anabu ɒl keðabɒɾd
أنا بَحِبْ موسيقى الجاز.	ʔan bħab musaq alˈdʒɑz
أنا جعان أوي	ɑnɑ gʕaʕaː ɑlɑʔiː
أنا جعانة أوي	ænɪˈgæn ɑnɑ ɛwɪh
أنا جيت مصر علشان أدرس عربي	ʔan giːd masˤaː ʕɑˈʃɑn ʔadˈras ʕarˈbi
أنا حاسس بشوية برد	ʔana ħɑsˈs bʃuːa bɑrt
أنا حاسه اني تعبانة	ɑnɑ ħæsˈnɑ taʕbɑnɑ
أنا رايح الجامعة	ɑnɑ raːjħ ælˈgæmɑ
أنا رايح الشغل	ɑnɑ rɑjħ ælˈʃæːʕuːʕ
أنا زهقت	ʔɑnɑz ɦɪt
أنا ساكن في الدور التالت	ɑnɑ sˈɑkæn fˈalˈdˤa ælˈtˤa
أنا ساكنة في شقة	ana sɛkˈnɑf ʃeʔɛ
أنا عايش في إيطاليا.	ɑnɑ ʕɑːˈʃ f ʔitˈljæ
أنا قصدي	ʔana ʔazdiː
أنا كويسة	ana koːˈjeːsa
أنا ما عنديش	jæmɑn maː ʔaʕ
أنا متأكد إنه بيكذب	ʔan matˤakːad bʝɑktˤɑb
أنا متشكر قوي	ʔanem tʃʔagʔaːr awi
أنا مش فاهم	ɑnɑ mɪʃˈfɑːhæm
أنا مش فاهمة	ʔana mtʃfma
أنا مصرية	ana mɑsrɑjɯ
